Se alguém lhe apresentar mais de um motivo pelo qual deseja o emprego, não o contrate.	Um motivo robusto tem apenas 1 item. Acima disso indica que os motivos não são tão verdadeiros.	A cama de Procusto	Taleb, Nassim Nicholas
Assim, o dogma central da epistemologia que defendo é o seguinte: temos muito mais consciência sobre o que está errado do que sabemos sobre o que está certo, ou, para formular de acordo com a classificação frágil/robusto, o conhecimento negativo (o que é errado, o que não funciona) é mais robusto ao erro do que o conhecimento positivo (o que é certo, o que funciona).	Saber o que não fazer é mais robusto que saber o que funciona	Antifrágil	Taleb, Nassim Nicholas
Ou seja, o conhecimento cresce muito mais por subtração do que pelo acréscimo — dado que o que sabemos hoje pode vir a mostrar-se errado, mas o que sabemos ser errado não pode, ao fim e ao cabo, revelar-se certo, pelo menos não tão facilmente.	O conhecimento por subtração é antifrágil. O que sabemos hoje pode acabar mostrando-se errado, mas o que você sabe ser errado dificilmente irá se revelar por certo em algum momento.	Antifrágil	Taleb, Nassim Nicholas
Vamos dizer que, em geral, o fracasso (e a desconfirmação) é mais informativo do que o sucesso e a confirmação, razão pela qual afirmo que o conhecimento negativo é, pura e simplesmente, “mais robusto”.	O fracasso gera mais informações que a vitória. Conhecimento negativo é saber o que não fazer, que caminho não trilhar, etc..	Antifrágil	Taleb, Nassim Nicholas
Por fim, pense nesta versão modernizada, em uma frase de Steve Jobs: “As pessoas acham que foco significa dizer ‘sim’ para a coisa em que você precisa focar. Mas isso nada tem a ver com foco. Foco significa dizer ‘não’ para as centenas de outras boas ideias que existem. Você precisa escolher com cuidado. Na verdade, sinto-me tão orgulhoso das coisas que não fizemos quanto das coisas que já fiz. Inovação é dizer ‘não’ para mil coisas”.	Pense na sua jornada como um ponto de partida e um ponto de chegada. Se você foca apenas no ponto de chegada, seu campo de visão se estreita. Talvez chegue mais rápido, mas terá absorvido muito menos do que poderia no caminho. Ao trabalhar com a via negativa, que em vez de focar no objetivo, Vai direcionando seu caminho pelas informações geradas pela exposição e identificando o que NÃO focar, o seu caminho não será reto, mas as experiências adquiridas serão riquíssimas.	Antifrágil	Taleb, Nassim Nicholas
Mais dados — como prestar atenção às cores dos olhos das pessoas ao seu redor quando você atravessa a rua — podem fazer você se distrair e não ver o enorme caminhão vindo. Quando você atravessa a rua, elimina informações, qualquer coisa menos a ameaça essencial.1 Como Paul Valéry escreveu certa vez: que de choses il faut ignorer pour agir — quantas coisas é preciso ignorar para agir.	Aprenda a eliminar o ruído e a ignorar fatores antes considerados importantes, se não você não sai do lugar.	Antifrágil	Taleb, Nassim Nicholas
Por exemplo, se você tiver mais de uma razão para fazer alguma coisa (escolher um médico ou um veterinário, contratar um jardineiro ou um funcionário, casar-se com uma pessoa, ir viajar), simplesmente não faça nada disso. Não quer dizer que uma razão seja melhor do que duas, mas que, ao invocar mais de uma razão, você está tentando convencer a si mesmo a fazer alguma coisa. Decisões óbvias (robustas a erros) exigem apenas uma única razão, não mais do que isso. Da mesma forma, o Exército francês tinha uma heurística para rejeitar desculpas que justificavam o absenteísmo alegando mais de uma razão, como a morte da avó, pegar um resfriado e ter sido mordido por um javali.	Se ausentar do trabalho devido a morte da avó é algo, agora se ausentar devido a morte da avó e porque pegou uma gripe, é uma situação totalmente diferente e esquisita. Quando tomar uma decisão, tome-a com apenas UM bom motivo. Sempre. Pois decisões com mais de um motivo se tornam frágeis, sujeitas a ambiguidade e erro por parte de você e de outros.	Antifrágil	Taleb, Nassim Nicholas
Para propósitos práticos, minha resposta efetiva seria fazer com que os jovens lessem os clássicos. O futuro está no passado. Na verdade, há um provérbio árabe para isso: quem não tem passado não tem futuro.	Forme a base.	Antifrágil	Taleb, Nassim Nicholas
Prestamos mais atenção ao que varia e muda do que àquilo que desempenha um papel mais relevante, porém não se altera. Somos mais dependentes da água do que de celulares, porém, devido ao fato de a água não mudar e os celulares sim, estamos propensos a pensar que os celulares têm um papel maior do que	Prestamos muita atenção no que varia.	Antifrágil	Taleb, Nassim Nicholas
"De início, estou escrevendo estas linhas à mão, usando uma velha caneta-tinteiro. Não faço muito estardalhaço sobre o estado de minhas canetas. Muitas já são velhas, atravessaram décadas; uma delas (a melhor) eu tenho há pelo menos trinta anos. Tampouco fico obcecado com pequenas variações de papel. Prefiro usar papel Clairefontaine e cadernos que praticamente não mudaram desde a minha infância — quando muito, houve queda da qualidade. Mas, quando se trata de transcrever minha produção escrita para o formato eletrônico, fico preocupado com a possibilidade de que meu computador Mac não seja a melhor ferramenta para o trabalho. Ouvi dizer em algum lugar que a nova versão tinha uma bateria mais duradoura, e pretendo adquirir em breve esse modelo atualizado e melhorado, em meu próximo arroubo de compra por impulso."		Antifrágil	Taleb, Nassim Nicholas
O planejamento urbano, por sinal, demonstra a propriedade decisiva do chamado efeito de cima para baixo: geralmente, a estruturação de cima para baixo é irreversível, de modo que os erros tendem a permanecer constantes, ao passo que o de baixo para cima é gradual e cumulativo, com a criação e a destruição ao longo do caminho, ainda que provavelmente com um desnível positivo. Além disso, coisas que crescem de forma natural, sejam cidades ou casas, têm em si uma qualidade fractal. Como tudo que é vivo, todos os organismos, a exemplo de pulmões ou árvores, crescem sob alguma forma de aleatoriedade auto-orientada, porém domada. O que é fractal? Lembre-se do perspicaz achado de Mandelbrot no capítulo 3: “fractal” implica tanto irregularidade quanto uma forma de autossimilaridade nas coisas (Mandelbrot preferia “autoafinidade”), como árvores ramificando-se em galhos que parecem pequenas árvores, e galhos menores e menores parecidos com uma versão ligeiramente modificada, mas reconhecível, do todo.	"A estruturação de baixo para cima (criação e destruição, caminho natural) faz com que as coisas evoluam seguindo uma aleatoriedade auto-orientada, porém domada. Porém tudo que é “planejado” de cima para baixo tende a ter erros irreversíveis e constantes, sem espaço para correção.  ""Quanto mais vivo e adaptativo for o processo de construção, mais robusto será o resultado final"""	Antifrágil	Taleb, Nassim Nicholas
Esses fractais induzem certa riqueza de detalhes, com base em um pequeno número de regras de repetição de padrões embutidos. O fractal requer alguma irregularidade, mas do tipo que tenha algum método em sua loucura. Tudo na natureza é fractal, irregular e rico em detalhes, embora com certo padrão. O que é regular, por comparação, pertence à classe da geometria euclidiana que estudamos na escola, formas simplificadas que perdem essa camada de riqueza. Infelizmente, a arquitetura contemporânea é regular, mesmo quando tenta parecer imprevisível. O que é estruturado de cima para baixo geralmente	O caminho da natureza pode não ser racional a olho nú, mas tem um significado por trás. Tudo na natureza é irregular, rico em detalhes e com certo padrão, e tudo que fuja dessas 3 características uma hora será corrigido pelo tempo.	Antifrágil	Taleb, Nassim Nicholas
Esses fractais induzem certa riqueza de detalhes, com base em um pequeno número de regras de repetição de padrões embutidos. O fractal requer alguma irregularidade, mas do tipo que tenha algum método em sua loucura. Tudo na natureza é fractal, irregular e rico em detalhes, embora com certo padrão. O que é regular, por comparação, pertence à classe da geometria euclidiana que estudamos na escola, formas simplificadas que perdem essa camada de riqueza. Infelizmente, a arquitetura contemporânea é regular, mesmo quando tenta parecer imprevisível. O que é estruturado de cima para baixo geralmente é uniforme (isto é, não fractal) e parece morto.	O que é regular é uniforme e parece morto. A arquitetura moderna é desse jeito, devido a padronização industrial e a constante busca por eficiência e influência modernista. “Forma segue a função”. A arquitetura vernacular é um exemplo de irregularidade, com vilas ou cidades medievais que evoluíram organicamente, de modo adaptado. Geralmente de modo superficial não é visto muito sentido, mas “simplesmente” funcionam.	Antifrágil	Taleb, Nassim Nicholas
"Mais uma vez, temos a dicotomia máquina-organismo: para Jacobs, a cidade é um organismo; para Moses, uma máquina a ser aperfeiçoada."		Antifrágil	Taleb, Nassim Nicholas
"o frágil, nesse contexto, é, como a tecnologia, aquilo que não resiste ao teste do tempo. A melhor filtragem heurística, portanto, consiste em levar em conta a idade dos livros e dos artigos científicos. Geralmente, livros que tenham um ano de idade não valem a pena ser lidos (é muito pouco provável que possuam as qualidades necessárias para “sobreviver”), por mais que sejam o hype e pareçam “impactantes”. Por isso, uso o efeito Lindy como um guia para selecionar o que ler: livros que já existem há uns dez anos estarão em circulação por mais dez; livros que existem há cerca de dois milênios deverão perdurar por muito mais tempo, e assim por diante."	”A sabedoria que sobrevive séculos tem mais valor que as novidades efêmeras de hoje.” Quanto mais tempo algo sobrevive, mais sua vida útil se estende.	Antifrágil	Taleb, Nassim Nicholas
qualquer disciplina, os amadores são melhores, se for possível conectar-se com eles. Ao contrário dos diletantes, os profissionais de carreira são para o conhecimento o que as prostitutas são para o amor.		Antifrágil	Taleb, Nassim Nicholas
Ora, o que é o frágil? A ampla e excessiva dependência da tecnologia, a excessiva dependência do chamado método científico, em vez de heurísticas testadas e comprovadas pelo tempo. As corporações que hoje em dia são grandes deverão desaparecer, já que sempre foram debilitadas pelo que julgavam ser seu ponto forte: o tamanho, que é o inimigo das corporações, uma vez que causa uma fragilidade desproporcional aos eventos Cisne Negro.	Vantagem de heurísticas comprovadas pelo tempo sob o método científico. Não é por que você não sabe explicar que algo não existe.	Antifrágil	Taleb, Nassim Nicholas
As cidades-estados e as empresas de pequeno porte estão mais propensas a perdurar, e até mesmo a prosperar.	Erros são menores e mais comuns, gerando fortalecimento tanto das cidades-estado quanto de pequenas empresas.	Antifrágil	Taleb, Nassim Nicholas
minimamente com opiniões e narrativas. No nosso mundo há segredos que só a prática pode revelar, e que nenhuma opinião ou análise jamais será capaz de depreender por completo.	”No nosso mundo há segredos que só a prática pode revelar, e que nenhuma opinião ou análise jamais será capaz de entender por completo”	Antifrágil	Taleb, Nassim Nicholas
"Vamos levar um pouco adiante essa ideia do cachorro de Empédocles: se alguma coisa que não faz sentido para você (por exemplo, a religião — se você for ateu — ou algum hábito arraigado ou prática antiquíssima tidos como irracionais); se isso existe há muito tempo, então, irracional ou não, é de esperar que perdure por mais tempo ainda e sobreviva àqueles que exigem sua extinção."	Se você acha uma ideia irracional, mas ela é mais velha que você, irracional ou não, ela vai durar mais que você. Pois a natureza não é burra, nada irracional sobrevive ao tempo.	Antifrágil	Taleb, Nassim Nicholas
Vejamos o exemplo do tabagismo, que, em algum momento, era visto como um hábito que trazia pequenos ganhos em prazer e até mesmo em saúde (as pessoas achavam de verdade que era algo benéfico). Levou décadas para que os danos do consumo de tabaco se tornassem visíveis. No entanto, tivesse alguém questionado esse fato, enfrentaria a reação acadêmica-ensaiada-ingênua e falsamente especializada: “Você tem evidências de que isso faz mal?” (uma resposta no nível de “existem evidências de que a poluição faz mal?”). Como de praxe, a solução é simples, uma extensão da via negativa e da regra (de Tony Gordo) não seja um otário: o não natural precisa provar seus benefícios, o natural não precisa —	O tempo é o maior juíz. Se algo sobreviveu a ele, não precisa provar que é bom para a espécie. “O não natural precisa provar seus benefícios, o natural não precisa”	Antifrágil	Taleb, Nassim Nicholas
de acordo com o princípio estatístico esboçado anteriormente de que a natureza deve ser considerada muito menos otária do que os seres humanos. Em um domínio complexo, somente o tempo — um longo tempo — é uma evidência.	Domínio complexo é um sobre algo que é dificilmente explicado em termos simples, portanto ao invés de tentar provar por meios matemáticos, por exemplo, é melhor deixar o tempo agir. O tempo é o maior juíz do que é bom e o que é ruim.	Antifrágil	Taleb, Nassim Nicholas
De fato, ele não tinha resposta alguma, porque tão logo cheguei a um computador, pude confirmar que não existe evidência empírica convincente a favor da redução do inchaço. Pelo menos não fora do escopo dos casos muito raros em que o edema ameaçaria o paciente, o que evidentemente não era o caso. Era puro racionalismo otário da mente dos médicos, obedecendo ao que fazia sentido para seres humanos com inteligência restrita, acoplado ao intervencionismo, essa necessidade de fazer algo, esse defeito de pensar que sabemos mais, e de depreciar o não observado. Esse defeito não está limitado a nosso controle de inchaços: a confabulação é uma praga que assola toda a história da medicina, ao lado, é claro, de muitos outros campos práticos.	A natureza não é otária. Ela tem respostas pra tudo que acontece, não ache que você é mais inteligente que ela. São milhares de anos de tentativa e erro. Racionalismo otário é chegar em uma conclusão lógica diferente da que a natureza chegou, com seus milhões de anos de tentativa e erro, e achar que está certo.	Antifrágil	Taleb, Nassim Nicholas
Não sou contra a função e a missão da indústria farmacêutica, mas, sim, à sua prática de negócios: ela deveria concentrar-se, para seu próprio benefício, em doenças extremas, não em reclassificações ou em pressionar médicos para que prescrevam medicamentos. Na verdade, a indústria farmacêutica tira proveito do intervencionismo dos médicos.	A indústria farmacêutica tira proveito do intervencionismo dos médicos, ou ela gera o intervencionismo com seu dinheiro?	Antifrágil	Taleb, Nassim Nicholas
A pedra filosofal explicou que a volatilidade de uma exposição pode ser mais importante do que sua média — a diferença é o “viés de convexidade”. Se você for antifrágil (isto é, convexo) a determinada substância, então é melhor fazer com que ela seja distribuída aleatoriamente, em vez de ser fornecida de forma constante.	Se você for antifragil a algo, é melhor que seja exposto a ele de modo volátil em vez de modo constante.	Antifrágil	Taleb, Nassim Nicholas
Deixe-me formular o último ponto de modo um pouco diferente. Se existe algo na natureza que não entendemos, provavelmente faz sentido de maneira mais profunda, além de nossa compreensão. Portanto, há uma lógica inerente às coisas naturais que é muito superior à nossa própria lógica.	Tudo na natureza tem lógica, se não temos capacidade de entender o problema é nosso.	Antifrágil	Taleb, Nassim Nicholas
"que a Mãe Natureza faz é rigoroso até que se prove o contrário; o que os seres humanos e a ciência fazem é imperfeito até que se prove o contrário."	A natureza não é idiota. Tome tudo que ela faz como criterioso e rigoroso. A primeira vista, tome tudo que o ser humano faz como imperfeito.	Antifrágil	Taleb, Nassim Nicholas
Vamos acabar com esse negócio de “evidências” de m**. Se você quiser falar sobre o “estatisticamente significativo”, nada neste planeta pode ser tão próximo do “estatisticamente significativo” quanto a natureza.	A natureza não é otária. Quer testar a robustez de algo? Deixe que o tempo faça seu trabalho e observe os resultados.	Antifrágil	Taleb, Nassim Nicholas
Tudo que é instável ou quebrável teve amplas chances de se quebrar ao longo do tempo. Ademais, as interações dos componentes da Mãe Natureza tiveram de ser moduladas de maneira a manter vivo o sistema como um todo. O que surge, depois de milhões de anos, é uma maravilhosa combinação de solidez, antifragilidade e fragilidade local, sacrifícios feitos em uma área para que a natureza funcione melhor. Nós nos sacrificamos em prol de nossos genes, trocando nossa fragilidade pela sobrevivência deles. Envelhecemos, mas eles permanecem jovens, e cada vez mais aptos e adaptados fora de nós. As coisas se quebram em pequena escala o tempo todo, a fim de evitar generalizadas catástrofes em larga escala.	As coisas se quebram em pequena escala o tempo todo, a fim de evitar generalizadas catástrofes em larga escala.	Antifrágil	Taleb, Nassim Nicholas
"Como vimos no capítulo 7, o que os físicos chamam de fenomenologia do processo é a manifestação empírica, sem levar em conta o modo como ela adere a teorias gerais existentes. Tomemos, por exemplo, a seguinte afirmação, inteiramente baseada em evidências: se você ganhar músculos, poderá comer mais, sem ficar com mais depósitos de gordura na barriga, e pode empanturrar-se de costeletas de cordeiro sem precisar comprar um cinto novo. Ora, no passado, a teoria para racionalizar essa asserção era: “Seu metabolismo é mais elevado, pois os músculos queimam calorias”. Hoje em dia, costumo ouvir: “Você se torna mais sensível à insulina e armazena menos gordura”. Insulina, insulina uma ova; metabolismo, que metabolismo que nada: no futuro surgirá outra teoria, e alguma outra substância aparecerá, mas exatamente o mesmíssimo efeito continuará a prevalecer."	O robusto é o resultado confirmado de modo empírico (se você ganhar músculos, você pode comer mais sem engordar). Se é verdade, é o que importa, não precisa racionalizar por trás, pois a teoria está sempre mudando, é frágil. O que importa é o resultado empírico.	Antifrágil	Taleb, Nassim Nicholas
"Isso vale também para a afirmação de que levantar pesos aumenta a massa muscular. No passado, diziam que o levantamento de pesos causava “microrruptura dos músculos”, com subsequentes cura e aumento de tamanho. Hoje, algumas pessoas discutem a sinalização hormonal ou os mecanismos genéticos; amanhã, discutirão outra coisa qualquer. Mas o resultado sempre se manteve e continuará sendo o mesmo."	O empirismo está em vantagem. O que importa é o resultado observado, não o por que. Teorias são frágeis, vem e vão. O que foi testado pelo tempo é resiliente.	Antifrágil	Taleb, Nassim Nicholas
Se vivemos mais tempo, é graças aos benefícios ocasionados pela medicina em casos que são letais, em que as condições de saúde são graves — portanto, de baixa iatrogenia, e, como vimos, nos casos convexos. Por isso, é um erro gravíssimo inferir que, se vivemos mais tempo por causa da medicina, todos os tratamentos médicos aumentam nossa longevidade.		Antifrágil	Taleb, Nassim Nicholas
Outra aplicação da via negativa: gastar menos, viver mais tempo, é uma estratégia subtrativa. Vimos que a iatrogenia vem do viés de intervenção, a via positiva, a propensão a querer fazer alguma coisa, causando todos os problemas que já discutimos. Mas vamos colocar um pouco de via negativa aqui: eliminar as coisas pode ser uma ação bastante potente (e, empiricamente, mais rigorosa).	Há muitos benefícios ocultos em desenvolver a mentalidade de subtrair, em vez de adicionar. Tenha menos posses, use menos aplicativos no seu celular, gaste menos dinheiro. Retire para simplificar a fortalecer.	Antifrágil	Taleb, Nassim Nicholas
Vamos analisar a sabedoria secular. “Às vezes a escassez de alimento restaura o sistema”, escreveu Plotino — e os antigos acreditavam em purgações (uma manifestação disso era a invariavelmente prejudicial, embora muitas vezes benéfica, prática regular da sangria).	O ser humano aprendeu a se manter mais forte com a variabilidade no consumo de alimentos, por isso os benefícios do jejum.	Antifrágil	Taleb, Nassim Nicholas
se a verdadeira riqueza consiste em sono tranquilo, consciência limpa, gratidão recíproca, ausência de inveja, bom apetite, força muscular, energia física, risadas frequentes, não fazer refeições sozinho, nenhum treino na academia, algum trabalho físico (ou passatempo), bom funcionamento intestinal, nada de sala de reuniões e surpresas periódicas, então ela é, em grande parte, subtrativa (eliminação da iatrogenia).	A verdadeira felicidade é subtrativa. A felicidade está no pouco.	Antifrágil	Taleb, Nassim Nicholas
Talvez o mais imprescindível seja eliminar aleatoriamente algumas refeições, ou, pelo menos, evitar a estabilidade no consumo de alimentos. O erro de deixar passar despercebidas as não linearidades é encontrado em duas situações: na mescla e na frequência da ingestão de comida.		Antifrágil	Taleb, Nassim Nicholas
Dar comida às pessoas antes que elas gastem energia certamente confundiria seu processo de entendimento de sinais. E temos amplas evidências de que privar intermitentemente (e apenas intermitentemente) organismos de alimentos gera efeitos benéficos para várias funções	O corpo humano nunca foi acostumado a receber alimento constante como fazemos hoje. Isso mima nosso organismo, que fica impedido de se fortalecer.	Antifrágil	Taleb, Nassim Nicholas
"Um homem pela metade (ou, melhor, uma pessoa pela metade) não é alguém que não tem opinião; é apenas alguém que não assume riscos em nome de sua opinião."		Antifrágil	Taleb, Nassim Nicholas
"Se o indivíduo assumir riscos e enfrentar seu destino com dignidade, nada do que ele possa fazer o tornará pequeno; se você não assumir riscos, não há nada que possa fazer para tornar-se grande, nada. E, quando você assume riscos, os insultos desferidos por homens pela metade (homens pequenos, aqueles que não arriscam nada) são semelhantes a latidos de animais não humanos: não dá para se sentir ofendido por um cão."	Se o indivíduo não assume riscos, não há nada que possa fazer para tornar-se grande	Antifrágil	Taleb, Nassim Nicholas
Tony Gordo tem duas heurísticas. A primeira: nunca embarque em um avião se o piloto não estiver a bordo. A segunda: certifique-se de que há também um copiloto.	Mesma ideia do engenheiro debaixo de sua ponte, em Roma. Também sobre margem, redundância.	Antifrágil	Taleb, Nassim Nicholas
Ralph Nader tem uma regra simples: as pessoas que votam a favor da guerra precisam ter, pelo menos, um descendente (filho ou neto) exposto ao combate. Para os romanos, os engenheiros precisavam passar algum tempo debaixo da ponte que construíram — algo que deveria ser exigido dos engenheiros financeiros de hoje. Os ingleses iam mais longe, obrigando as famílias dos engenheiros a viver por algum tempo com eles sob a ponte depois de concluídas as obras de construção.	Engenheiros romanos precisavam passar um tempo debaixo da ponte que construíram. Necessário ter algo a perder em todas as situações. Pagar um salário um pouco maior, mas reter este valor para assegurar entrega de qualidade.	Antifrágil	Taleb, Nassim Nicholas
"Então, na contracorrente da ideia do intelectual e do comentarista como membros desvinculados e protegidos da sociedade, afirmo aqui que considero profundamente antiético falar sem fazer, sem se expor a danos, sem arriscar a própria pele, sem ter algo a perder. Você expressa sua opinião; ela pode ferir os outros (que confiam nessa opinião), mas ainda assim você não está sujeito a nenhuma desvantagem, nenhuma responsabilidade. Isso é justo?"	É antiético opinar sem sofrer as consequências.	Antifrágil	Taleb, Nassim Nicholas
Antigamente, o privilégio vinha atrelado a obrigações — à exceção da pequena classe de intelectuais que serviam a um patrono ou, em alguns casos, ao Estado. Você quer ser um senhor feudal — será o primeiro a morrer. Você quer guerra? Seja o primeiro a entrar em ação. Não nos esqueçamos de algo que está embutido na Constituição norte-americana: o presidente é o comandante em chefe. César, Alexandre e Aníbal estiveram no campo de batalha — este último, de acordo com Lívio, era o primeiro a entrar e o último a sair das zonas de combate. George Washington também foi para a batalha, ao contrário de Ronald Reagan e George W. Bush, que jogavam video game enquanto ameaçavam a vida de outras pessoas.	O privilégio tem que estar atrelado ao risco máximo dentro de uma organização. O dono da construtora tem que ser o que mais tem a perder quando algo da errado.	Antifrágil	Taleb, Nassim Nicholas
Nunca pergunte, a quem quer que seja, qual é sua opinião, previsão ou recomendação. Simplesmente pergunte o que a pessoa tem — ou não — em seu portfólio de investimentos.	Skin in the game. Se a pessoa recomenda algo mas não sobre as consequências da sua recomendação, não confie nela. Só ouça quem tem algo a perder.	Antifrágil	Taleb, Nassim Nicholas
O psicólogo Gerd Gigerenzer tem uma heurística simples. Nunca pergunte ao médico o que você deveria fazer. Pergunte a ele o que ele faria se estivesse em seu lugar. Você ficaria surpreso com a diferença que isso faz.	Skin in the game. Agora o médico não dará uma opinião que o deixe isento dos resultados, como faria, pois diria que estava seguindo as recomendações científicas. Mas agora ele tem que levar em conta se ele próprio acredita nessas recomendações.	Antifrágil	Taleb, Nassim Nicholas
o pesquisador científico cujas ideias são aplicáveis ao mundo real aplica as próprias ideias a sua vida cotidiana? Se sim, leve-o a sério. Caso contrário, ignore-o	Pele em jogo…	Antifrágil	Taleb, Nassim Nicholas
"O problema do mundo comercial é que ele só funciona por meio da adição (via positiva), não pela subtração (via negativa): as empresas farmacêuticas não ganham nada quando você evita o açúcar;"		Antifrágil	Taleb, Nassim Nicholas
"Uma regra, então, ocorreu-me: à exceção, digamos, dos traficantes de drogas, as pequenas empresas e os artesãos tendem a nos vender produtos saudáveis, produtos que parecem necessários de uma forma natural e espontânea; as empresas maiores — incluindo as gigantes farmacêuticas — estão propensas a atuar produzindo iatrogenia no atacado, tomando nosso dinheiro, e, então, para piorar ainda mais as coisas, tomando posse do Estado, graças ao trabalho de seu exército de lobistas."	Pequenas empresas e artesãos atuam de acordo com as necessidades reais de mercado. Grandes empresas manipulam as necessidades do mercado para vender mais e se apossam das tomadas de decisão.	Antifrágil	Taleb, Nassim Nicholas
Rohan Silva comentou que Steve Jobs queria que a parte interna dos produtos da Apple fosse esteticamente atraente, embora concebida para permanecer invisível aos olhos dos clientes. Isso é algo que somente um verdadeiro artesão faria — carpinteiros dotados de orgulho pessoal têm a sensação de que são impostores se o tratamento final que derem à parte interna dos armários não for idêntico ao acabamento da parte externa. Mais uma vez, essa é uma forma de redundância, com compensação estética e ética. Mas Steve Jobs era uma das raras exceções da Economia Global Corporativa Extremamente Comentada, Completamente Incompreendida e Supostamente Eficiente.	O capricho está em fazer bem feito algo que não será visto por fora.	Antifrágil	Taleb, Nassim Nicholas
Ora, para nosso amigo horizontal a propriedade de si mesmo era imensamente mais democrática do que para os pensadores que existiram antes dele. Significava simplesmente ser dono e senhor de sua própria opinião. E isso nada tem a ver com riqueza, genealogia, inteligência, aparência física, número do sapato, e sim com coragem pessoal.	Ser dono da própria opinião e do próprio tempo vem da CORAGEM PESSOAL.	Antifrágil	Taleb, Nassim Nicholas
Então, ocorreu-me uma heurística. Sub-repticiamente, perguntei a um anfitrião sentado a meu lado se o professor tinha algo a ganhar com aquela argumentação: no fim ficou evidente que ele estava profundamente mancomunado com as empresas petrolíferas, como conselheiro, investidor e consultor. No mesmo instante perdi o interesse no que ele tinha a dizer e a energia necessária para debater na frente dos outros — suas palavras eram insignificantes, mero papo-furado.	A opinião dele é enviesada. Ele não é um homem livre. Se você não pode falar o que pensa, seja pelo seu trabalho ou sua posição na sociedade, você não é um homem livre.	Antifrágil	Taleb, Nassim Nicholas
Assimetria fundamental (também Assimetria de Sêneca): Quando alguém tem mais vantagens do que desvantagens em determinada situação, ele é antifrágil e tende a ganhar com (a) volatilidade, (b) aleatoriedade, (c) erros, (d) incerteza, (e) estressores, (f) tempo.	Assimetria é ter mais vantagens que desvantagens em determinada situação. Quando você tem assimetria, você é antifrágil em relação àquilo, e tende a ganhar com a: 1. volatilidade 2. aleatoriedade 3. erros 4. incerteza 5. estressores 6. tempo	Antifrágil	Taleb, Nassim Nicholas
Flanador racional (ou apenas flanador): alguém que, ao contrário de um turista, toma uma decisão oportunista a cada etapa para rever sua programação (ou seu destino), de modo que possa impregnar-se das coisas com base em novas informações obtidas. Na área de pesquisa e no empreendedorismo, ser um flanador é chamado de “procurar a opcionalidade”. Um enfoque não narrativo da vida.	Um enfoque não narrativo da vida significa não planejar como um turista planeja o roteiro do passeio, mas agir (coletar informações) e usá-las para tomar decisões a cada passo.	Antifrágil	Taleb, Nassim Nicholas
Ladrilho de Empédocles: um cachorro dorme no mesmo ladrilho por causa de uma correspondência natural, biológica, explicável ou não explicável, confirmada por uma longa série de frequentações recorrentes. Talvez jamais saibamos o motivo, mas a correspondência está lá. Exemplo: por que lemos livros.		Antifrágil	Taleb, Nassim Nicholas
Via negativa: em teologia e filosofia, o foco naquilo que algo não é, uma definição indireta. Na ação, é uma receita para o que evitar, o que não fazer — a subtração, e não a adição, como na medicina.	Definir algo por meio do que aquele algo não é. Você nem sempre sabe o que é bom para você, mas você com certeza sabe o que não é bom. Comece por ai.	Antifrágil	Taleb, Nassim Nicholas
A ideia de arriscar a própria pele permeia a história: tradicionalmente, todos os senhores da guerra e belicistas eram eles próprios guerreiros e, com poucas e curiosas exceções, as sociedades eram administradas por quem corria riscos e não por quem transferia riscos.	Antigamente, quem detinha o poder precisava se arriscar fisicamente	Arriscando a Própria Pele	Nassim Nicholas Taleb and Renato Brett
Esses relatos não são isolados. O autor que vos escreve está bastante convencido sobre as estatísticas: menos de um terço dos imperadores romanos morreu na cama.	Morreram no campo de batalha, arriscando a própria pele.	Arriscando a Própria Pele	Nassim Nicholas Taleb and Renato Brett
A burocracia é uma construção pela qual uma pessoa é convenientemente separada das consequências de suas ações. E, talvez alguém pergunte, o que podemos fazer, já que um sistema centralizado necessariamente precisará de pessoas que não estão diretamente expostas às consequências dos erros? Bem, para que haja menos desses tomadores de decisões não temos outra escolha senão descentralizar ou, em termos mais refinados, localizar. A descentralização é baseada na noção simples de que a macrobaboseira é mais fácil do que a microbaboseira.	Centralizar demais é separar o tomador de decisão da responsabilidade por essa decisão. Ele não está exposto às consequências.	Arriscando a Própria Pele	Nassim Nicholas Taleb and Renato Brett
"O mecanismo de transferência de risco também impede a aprendizagem. Em termos mais práticos, Você jamais convencerá completamente uma pessoa de que ela está errada; somente a realidade é capaz disso."	Você aprende algo por que se arriscou. Quando você repassa esse conhecimento, ele não vai com o risco, portanto a pessoa não vai aprender.	Arriscando a Própria Pele	Nassim Nicholas Taleb and Renato Brett
Arriscar a própria pele mantém a soberba humana sob controle.	É encarar realidades, entender com as coisas realmente funcionam. Te dá empatia.   A política promove a soberba exatamente por separar o tomador de decisão da consequência da decisão	Arriscando a Própria Pele	Nassim Nicholas Taleb and Renato Brett
Tony Gordo: não sacaneie ninguém nem aceite que alguém sacaneie você. O enfoque mais prático dele é: Seja agradável com todas as pessoas que você conhecer. Mas se alguém tentar exercer poder sobre você, exerça poder sobre ele.	Se alguém exercer poder sobre você, REAJA e aja sobre ela	Arriscando a Própria Pele	Nassim Nicholas Taleb and Renato Brett
